lemma,lemma_normalized,pos,gloss,example,example_english,source_url,source_name,flags
abuelo,abuelo,noun,(Zamboangueño) grandfather,,,https://en.wiktionary.org/wiki/abuelo,wiktionary,
abusar,abusar,noun,"(intransitive, abusar de) to abuse (use improperly)",,,https://en.wiktionary.org/wiki/abusar,wiktionary,
abuso,abuso,noun,abuse,,,https://en.wiktionary.org/wiki/abuso,wiktionary,
abyan,abyan,noun,companion,,,https://en.wiktionary.org/wiki/abyan,wiktionary,
abyasion,abyasion,noun,aviation,,,https://en.wiktionary.org/wiki/abyasion,wiktionary,
abyogan,abyogan,noun,swing (hanging seat),,,https://en.wiktionary.org/wiki/abyogan,wiktionary,
ad-adan,ad-adan,noun,"slicer, a frame knife",,,https://en.wiktionary.org/wiki/ad-adan,wiktionary,
adelpa,adelpa,noun,Nerium oleander; the only species in the genus Nerium; an evergreen shrub or small tree in the dogbane family Apocynaceae,,,https://en.wiktionary.org/wiki/adelpa,wiktionary,
adgaw,adgaw,noun,"a small hairy tree, Premna odorata",,,https://en.wiktionary.org/wiki/adgaw,wiktionary,
adikdik,adikdik,noun,dandruff,,,https://en.wiktionary.org/wiki/adikdik,wiktionary,
adiong,adiong,noun,a large ship or ark,,,https://en.wiktionary.org/wiki/adiong,wiktionary,
adlaw,adlaw,noun,sun,,,https://en.wiktionary.org/wiki/adlaw,wiktionary,
adlawon,adlawon,noun,full daylight after sunrise is over,,,https://en.wiktionary.org/wiki/adlawon,wiktionary,
administrasyon,administrasyon,noun,"administration, management",,,https://en.wiktionary.org/wiki/administrasyon,wiktionary,
adobi,adobi,noun,inflection of adobar: first/third-person singular present subjunctive third-person singular imperative,,,https://en.wiktionary.org/wiki/adobi,wiktionary,possible_non_hiligaynon_inflection
adorasyon,adorasyon,noun,worship,,,https://en.wiktionary.org/wiki/adorasyon,wiktionary,
adorno,adorno,noun,"A clay ornament attached to a piece of pottery, usually at the rim.",,,https://en.wiktionary.org/wiki/adorno,wiktionary,
adtang,adtang,noun,the forehead,,,https://en.wiktionary.org/wiki/adtang,wiktionary,
aduana,aduana,noun,inflection of aduanar: third-person singular present indicative second-person singular imperative,,,https://en.wiktionary.org/wiki/aduana,wiktionary,possible_non_hiligaynon_inflection
adudulay,adudulay,noun,a large earthworm,,,https://en.wiktionary.org/wiki/adudulay,wiktionary,
agalon,agalon,noun,(dated) a person who oversees and directs the work of others; a boss; a supervisor; a manager,,,https://en.wiktionary.org/wiki/agalon,wiktionary,
aghon,aghon,noun,H-system spelling of aĝon,,,https://en.wiktionary.org/wiki/aghon,wiktionary,
agigising,agigising,noun,(anatomy) temple the fine hairs on the temple,,,https://en.wiktionary.org/wiki/agigising,wiktionary,
agila,agila,noun,eagle,,,https://en.wiktionary.org/wiki/agila,wiktionary,
aginaldo,aginaldo,noun,Christmas present,,,https://en.wiktionary.org/wiki/aginaldo,wiktionary,
agogoling,agogoling,noun,bumblebee,,,https://en.wiktionary.org/wiki/agogoling,wiktionary,
agtang,agtang,noun,the forehead; the part of the face above the eyebrows and below the hairline,,,https://en.wiktionary.org/wiki/agtang,wiktionary,
agwa,agwa,noun,water (only used in set expressions),,,https://en.wiktionary.org/wiki/agwa,wiktionary,
agwatato,agwatato,noun,pimp,,,https://en.wiktionary.org/wiki/agwatato,wiktionary,
ahedres,ahedres,noun,(dated) chess,,,https://en.wiktionary.org/wiki/ahedres,wiktionary,
ahensya,ahensya,noun,alternative form of ahensiya,,,https://en.wiktionary.org/wiki/ahensya,wiktionary,
ahiti,ahiti,noun,leek,,,https://en.wiktionary.org/wiki/ahiti,wiktionary,
ahos,ahos,noun,"garlic (Allium sativum); a plant related to the onion, having a pungent bulb much used in cooking",,,https://en.wiktionary.org/wiki/ahos,wiktionary,
aihada,aihada,noun,goddaughter,,,https://en.wiktionary.org/wiki/aihada,wiktionary,
aihado,aihado,noun,godson,,,https://en.wiktionary.org/wiki/aihado,wiktionary,
akasya,akasya,noun,acacia tree,,,https://en.wiktionary.org/wiki/akasya,wiktionary,
ala-asawa,ala-asawa,noun,"concubine, mistress",,,https://en.wiktionary.org/wiki/ala-asawa,wiktionary,
alabri,alabri,noun,"a key, anything used for the purposes of opening something that is closed",,,https://en.wiktionary.org/wiki/alabri,wiktionary,
alagad,alagad,noun,but; however; yet,,,https://en.wiktionary.org/wiki/alagad,wiktionary,
alagaran,alagaran,noun,third-person plural pluperfect indicative of alagar,,,https://en.wiktionary.org/wiki/alagaran,wiktionary,
alam,alam,noun,"inferior, something or someone that is of a lower standing",,,https://en.wiktionary.org/wiki/alam,wiktionary,
alanyon,alanyon,noun,crop,,,https://en.wiktionary.org/wiki/alanyon,wiktionary,
alang-ang,alang-ang,noun,trivial cold; slight fever,,,https://en.wiktionary.org/wiki/alang-ang,wiktionary,
alasohan,alasohan,noun,chimney,,,https://en.wiktionary.org/wiki/alasohan,wiktionary,
alat,alat,noun,nonstandard form of halat,,,https://en.wiktionary.org/wiki/alat,wiktionary,
alaypan,alaypan,noun,"asylum, nursery",,,https://en.wiktionary.org/wiki/alaypan,wiktionary,
alaypan hayop,alaypan hayop,noun,zoo,,,https://en.wiktionary.org/wiki/alaypan_hayop,wiktionary,
algodon,algodon,noun,cotton,,,https://en.wiktionary.org/wiki/algodon,wiktionary,
alhebra,alhebra,noun,algebra,,,https://en.wiktionary.org/wiki/alhebra,wiktionary,
alibakaw,alibakaw,noun,betel nut,,,https://en.wiktionary.org/wiki/alibakaw,wiktionary,
alibangbang,alibangbang,noun,(Naga) dragonfly,,,https://en.wiktionary.org/wiki/alibangbang,wiktionary,
aligi,aligi,noun,crab fat,,,https://en.wiktionary.org/wiki/aligi,wiktionary,
alimokon,alimokon,noun,pigeon,,,https://en.wiktionary.org/wiki/alimokon,wiktionary,
alimosan,alimosan,noun,mudskipper,,,https://en.wiktionary.org/wiki/alimosan,wiktionary,
alimpulos,alimpulos,noun,a whirlwind; a tornado; a dust devil; a waterspout,,,https://en.wiktionary.org/wiki/alimpulos,wiktionary,
aliwatan,aliwatan,noun,wrist,,,https://en.wiktionary.org/wiki/aliwatan,wiktionary,
alkansiya,alkansiya,noun,piggy bank,,,https://en.wiktionary.org/wiki/alkansiya,wiktionary,
alkitran,alkitran,noun,pitch,,,https://en.wiktionary.org/wiki/alkitran,wiktionary,
almanaki,almanaki,noun,"almanac, calendar",,,https://en.wiktionary.org/wiki/almanaki,wiktionary,
almidon,almidon,noun,starch,,,https://en.wiktionary.org/wiki/almidon,wiktionary,
almohada,almohada,noun,"cushion, pillow",,,https://en.wiktionary.org/wiki/almohada,wiktionary,
almohadon,almohadon,noun,a large cushion or pillow,,,https://en.wiktionary.org/wiki/almohadon,wiktionary,
almon,almon,noun,nowhere,,,https://en.wiktionary.org/wiki/almon,wiktionary,
almoranas,almoranas,noun,(pathology) hemorrhoid,,,https://en.wiktionary.org/wiki/almoranas,wiktionary,
alom,alom,noun,"a tree, Melanolepsis multiglandulosa",,,https://en.wiktionary.org/wiki/alom,wiktionary,
aloy,aloy,noun,termite,,,https://en.wiktionary.org/wiki/aloy,wiktionary,
alpombra,alpombra,noun,carpet,,,https://en.wiktionary.org/wiki/alpombra,wiktionary,
alugbati,alugbati,noun,the Malabar spinach (Basella alba),,,https://en.wiktionary.org/wiki/alugbati,wiktionary,
aluntaga,aluntaga,noun,the rung or step of a ladder,,,https://en.wiktionary.org/wiki/aluntaga,wiktionary,
amapola,amapola,noun,a poppy; any plant of the genus Papaver,,,https://en.wiktionary.org/wiki/amapola,wiktionary,
amay,amay,noun,"(transitive and intransitive, obsolete) to dismay; confound; be dismayed",,,https://en.wiktionary.org/wiki/amay,wiktionary,
amba sang pispis,amba sang pispis,noun,warbler,,,https://en.wiktionary.org/wiki/amba_sang_pispis,wiktionary,
ambahan,ambahan,noun,"chanted verse, characterized by the use of seven-foot lines; by conspicuous lack of loanwords (from Spanish, Tagalog, or Hiligaynon); by many archaic Hanunoo terms; and by being sung always without instrumental accompaniment",,,https://en.wiktionary.org/wiki/ambahan,wiktionary,
ambulansya,ambulansya,noun,ambulance,,,https://en.wiktionary.org/wiki/ambulansya,wiktionary,
amidol,amidol,noun,"The hydrochloride of the amino-phenol 2,4-diaminophenol, used as a photographic developer.",,,https://en.wiktionary.org/wiki/amidol,wiktionary,
amihan,amihan,noun,north,,,https://en.wiktionary.org/wiki/amihan,wiktionary,
aminhan,aminhan,noun,north,,,https://en.wiktionary.org/wiki/aminhan,wiktionary,
amlig,amlig,noun,"care, caution",,,https://en.wiktionary.org/wiki/amlig,wiktionary,
amorokpok,amorokpok,noun,"meteorite, shooting star",,,https://en.wiktionary.org/wiki/amorokpok,wiktionary,
amoy,amoy,noun,small monkey,,,https://en.wiktionary.org/wiki/amoy,wiktionary,
ampis,ampis,noun,the front part of a bahag,,,https://en.wiktionary.org/wiki/ampis,wiktionary,
ampo,ampo,noun,A Javan snack food consisting of thin sticks of baked earth.,,,https://en.wiktionary.org/wiki/ampo,wiktionary,
amumuklid,amumuklid,noun,toadstool,,,https://en.wiktionary.org/wiki/amumuklid,wiktionary,
amyon,amyon,noun,"fragrance, scent, smell",,,https://en.wiktionary.org/wiki/amyon,wiktionary,
anak,anak,noun,"Marks the topic of the clause, sentence, or conversation.",,,https://en.wiktionary.org/wiki/anak,wiktionary,
anak nga babae,anak nga babae,noun,daughter,,,https://en.wiktionary.org/wiki/anak_nga_babae,wiktionary,
anak-anak,anak-anak,noun,an adoptee; an adopted son or daughter,,,https://en.wiktionary.org/wiki/anak-anak,wiktionary,
anay,anay,noun,bandicoot,,,https://en.wiktionary.org/wiki/anay,wiktionary,
andamio,andamio,noun,scaffold,,,https://en.wiktionary.org/wiki/andamio,wiktionary,
anekdota,anekdota,noun,joke,,,https://en.wiktionary.org/wiki/anekdota,wiktionary,
anhel,anhel,noun,"yearning, desire",,,https://en.wiktionary.org/wiki/anhel,wiktionary,
anila,anila,noun,beehive,,,https://en.wiktionary.org/wiki/anila,wiktionary,
aninipot,aninipot,noun,firefly,,,https://en.wiktionary.org/wiki/aninipot,wiktionary,
ankla,ankla,noun,anchor,,,https://en.wiktionary.org/wiki/ankla,wiktionary,
anting-anting,anting-anting,noun,(Philippines) A Filipino amulet or talisman.,,,https://en.wiktionary.org/wiki/anting-anting,wiktionary,
antipara,antipara,noun,"eyeglasses, glasses, spectacles",,,https://en.wiktionary.org/wiki/antipara,wiktionary,
anghel,anghel,noun,angel,,,https://en.wiktionary.org/wiki/anghel,wiktionary,
anghit,anghit,noun,smell or odor of a goat,,,https://en.wiktionary.org/wiki/anghit,wiktionary,
angkod,angkod,noun,incisor; front teeth,,,https://en.wiktionary.org/wiki/angkod,wiktionary,
angso,angso,noun,odor or stench of urine,,,https://en.wiktionary.org/wiki/angso,wiktionary,
apan,apan,noun,"(fandom slang) A member of an amateur press association. 1990 August, Guy Lillian, “'Tis the Season”, in Mimosa‎[1], number 8, page 4:The greatest apan of all time lives on a quiet old street rising above Hagerstown, Maryland. 1998 October 3, Brown, Rich [Dr Gafia], “Fan Terms (1)”, in rec.arts.sf.fandom‎[2] (Usenet), retrieved 13 June 2018, message-ID <19981003020622.14181.00000964@ng52.aol.com>:Most of the participants in the mundane apas are hobby printers—-and the disdain with which our fandom once viewed Xeroxing of fanzines is but a pale reflection of the way mundane apans have looked upon the mimeo and the ditto as a means of publishing ""papers"" (as they call their amateur publications). 2006 May, Arnie Katz, “The Thin Veneer”, in confuSon‎[3], volume 1, number 4:I immediately began a cutback. I remained an enthusiastic apan, but by the time I gafiated around 1976, I was in only one, FAPA.",,,https://en.wiktionary.org/wiki/apan,wiktionary,
aparador,aparador,noun,cupboard,,,https://en.wiktionary.org/wiki/aparador,wiktionary,
apdo,apdo,noun,gall; bile,,,https://en.wiktionary.org/wiki/apdo,wiktionary,
apendisitis,apendisitis,noun,appendicitis,,,https://en.wiktionary.org/wiki/apendisitis,wiktionary,
apian,apian,noun,Relating to bees.,,,https://en.wiktionary.org/wiki/apian,wiktionary,
apitong,apitong,noun,The medium hardwood tree Dipterocarpus grandiflorus.,,,https://en.wiktionary.org/wiki/apitong,wiktionary,
apo nga babae,apo nga babae,noun,granddaughter,,,https://en.wiktionary.org/wiki/apo_nga_babae,wiktionary,
apo nga lalaki,apo nga lalaki,noun,grandson,,,https://en.wiktionary.org/wiki/apo_nga_lalaki,wiktionary,
apog,apog,noun,(chemistry) lime,,,https://en.wiktionary.org/wiki/apog,wiktionary,
apok,apok,noun,ergative indefinite of apo,,,https://en.wiktionary.org/wiki/apok,wiktionary,
arina,arina,noun,flour,,,https://en.wiktionary.org/wiki/arina,wiktionary,
aritmetika,aritmetika,noun,arithmetic,,,https://en.wiktionary.org/wiki/aritmetika,wiktionary,
aritos,aritos,noun,earring,,,https://en.wiktionary.org/wiki/aritos,wiktionary,
arnibal,arnibal,noun,syrup,,,https://en.wiktionary.org/wiki/arnibal,wiktionary,
aroro,aroro,noun,arrowroot,,,https://en.wiktionary.org/wiki/aroro,wiktionary,
aros,aros,noun,plural of aro,,,https://en.wiktionary.org/wiki/aros,wiktionary,
arpa,arpa,noun,harp (musical instrument),,,https://en.wiktionary.org/wiki/arpa,wiktionary,
arte,arte,noun,indefinite nominative/accusative plural of art,,,https://en.wiktionary.org/wiki/arte,wiktionary,
asawa sang hari,asawa sang hari,noun,queen,,,https://en.wiktionary.org/wiki/asawa_sang_hari,wiktionary,
asero,asero,noun,steel,,,https://en.wiktionary.org/wiki/asero,wiktionary,
asibar,asibar,noun,aloe vera,,,https://en.wiktionary.org/wiki/asibar,wiktionary,
asilo,asilo,noun,"asylum, protection, shelter, refuge",,,https://en.wiktionary.org/wiki/asilo,wiktionary,
asin,asin,noun,salt,,,https://en.wiktionary.org/wiki/asin,wiktionary,
asinan,asinan,noun,third-person plural present indicative of asinar,,,https://en.wiktionary.org/wiki/asinan,wiktionary,
aslang,aslang,noun,chin,,,https://en.wiktionary.org/wiki/aslang,wiktionary,
aslum,aslum,noun,sourness,,,https://en.wiktionary.org/wiki/aslum,wiktionary,
asog,asog,noun,"(historical) in pre-colonial Bicol; an effeminate man, who functions as a village priestess or medium",,,https://en.wiktionary.org/wiki/asog,wiktionary,
asoy,asoy,noun,useful,,,https://en.wiktionary.org/wiki/asoy,wiktionary,
aspalto,aspalto,noun,asphalt,,,https://en.wiktionary.org/wiki/aspalto,wiktionary,
asugi,asugi,noun,mercury,,,https://en.wiktionary.org/wiki/asugi,wiktionary,
asugi nga buhi,asugi nga buhi,noun,quicksilver,,,https://en.wiktionary.org/wiki/asugi_nga_buhi,wiktionary,
asukar,asukar,noun,sugar,,,https://en.wiktionary.org/wiki/asukar,wiktionary,
asunto,asunto,noun,"home, residence; unit, housing unit, dwelling unit; dwelling, domicile, habitation (any place for living, especially one constructed for that purpose)",,,https://en.wiktionary.org/wiki/asunto,wiktionary,
asupre,asupre,noun,sulfur,,,https://en.wiktionary.org/wiki/asupre,wiktionary,
aswang,aswang,noun,A shapeshifting evil creature in Philippine mythology,,,https://en.wiktionary.org/wiki/aswang,wiktionary,
atake,atake,noun,attack,,,https://en.wiktionary.org/wiki/atake,wiktionary,
atatalo,atatalo,noun,caterpillar,,,https://en.wiktionary.org/wiki/atatalo,wiktionary,
atay,atay,noun,(anatomy) liver,,,https://en.wiktionary.org/wiki/atay,wiktionary,
atipalo,atipalo,noun,earwig,,,https://en.wiktionary.org/wiki/atipalo,wiktionary,
atis,atis,noun,sugar apple (Annona squamosa),,,https://en.wiktionary.org/wiki/atis,wiktionary,
atog,atog,noun,(anatomy) glans penis,,,https://en.wiktionary.org/wiki/atog,wiktionary,
atomo,atomo,noun,(physics) atom,,,https://en.wiktionary.org/wiki/atomo,wiktionary,
atop,atop,noun,"On the top of. He sat atop the mountain, waiting for the end of the world. 1960 November, David Morgan, “""Piggyback""—U.S. success story”, in Trains Illustrated, page 684:For example, when trailers containing new automobiles were first piggybacked two areas of potential damage became evident: (1) diesel locomotive exhaust left a film of oil on the new autos; and (2) auto windshields could be scarred or cracked by the metal-tipped ""tell-tales"" which warn men atop trains of oncoming bridges or tunnels.",,,https://en.wiktionary.org/wiki/atop,wiktionary,
atsara,atsara,noun,Alternative spelling of atchara (“Filipino pickle”).,,,https://en.wiktionary.org/wiki/atsara,wiktionary,
awtopsiya,awtopsiya,noun,autopsy,,,https://en.wiktionary.org/wiki/awtopsiya,wiktionary,
ayagan,ayagan,noun,sieve,,,https://en.wiktionary.org/wiki/ayagan,wiktionary,
ayam-ayam,ayam-ayam,noun,ant,,,https://en.wiktionary.org/wiki/ayam-ayam,wiktionary,
ayo,ayo,noun,(slang) A greeting.,,,https://en.wiktionary.org/wiki/ayo,wiktionary,
aypon,aypon,noun,protege,,,https://en.wiktionary.org/wiki/aypon,wiktionary,
ayuda,ayuda,noun,"help, aid",,,https://en.wiktionary.org/wiki/ayuda,wiktionary,
babae,babae,noun,"dame, maid, mistress, girl",,,https://en.wiktionary.org/wiki/babae,wiktionary,
babana,babana,noun,essive singular of baba,,,https://en.wiktionary.org/wiki/babana,wiktionary,
babaye,babaye,noun,woman or girl; female,,,https://en.wiktionary.org/wiki/babaye,wiktionary,
babayi,babayi,noun,woman,,,https://en.wiktionary.org/wiki/babayi,wiktionary,
babaylan,babaylan,noun,A Philippine shaman.,,,https://en.wiktionary.org/wiki/babaylan,wiktionary,
babha,babha,noun,"wound, gash",,,https://en.wiktionary.org/wiki/babha,wiktionary,
baboy,baboy,noun,pig,,,https://en.wiktionary.org/wiki/baboy,wiktionary,
Bacolodnon,bacolodnon,noun,resident or inhabitant of Bacolod,,,https://en.wiktionary.org/wiki/Bacolodnon,wiktionary,
badlu,badlu,noun,phlegm,,,https://en.wiktionary.org/wiki/badlu,wiktionary,
bag-ohan,bag-ohan,noun,"(Daet, Partido, Sorsogon) alternative form of bagohan (“novice”)",,,https://en.wiktionary.org/wiki/bag-ohan,wiktionary,
baga,baga,noun,(anatomy) lung,,,https://en.wiktionary.org/wiki/baga,wiktionary,
bagani,bagani,noun,"(historical) The class of warrior-leaders of various Lumad ethnic groups of the island of Mindanao, Philippines.",,,https://en.wiktionary.org/wiki/bagani,wiktionary,
baganihan,baganihan,noun,hero,,,https://en.wiktionary.org/wiki/baganihan,wiktionary,
bagat-bagat,bagat-bagat,noun,centipede,,,https://en.wiktionary.org/wiki/bagat-bagat,wiktionary,
bagatnan,bagatnan,noun,south,,,https://en.wiktionary.org/wiki/bagatnan,wiktionary,
bagis,bagis,noun,plural of bagi,,,https://en.wiktionary.org/wiki/bagis,wiktionary,
bagol,bagol,noun,numb; insensible,,,https://en.wiktionary.org/wiki/bagol,wiktionary,
bagon,bagon,noun,(rail transport) railroad car (US); railway carriage (UK),,,https://en.wiktionary.org/wiki/bagon,wiktionary,
bagoong,bagoong,noun,A Philippine condiment made from fermented fish or shrimps.,,,https://en.wiktionary.org/wiki/bagoong,wiktionary,
bagrong,bagrong,noun,a roaring sound,,,https://en.wiktionary.org/wiki/bagrong,wiktionary,
bagsat,bagsat,noun,bedbug,,,https://en.wiktionary.org/wiki/bagsat,wiktionary,
bagting,bagting,noun,sound of a bell; chime,,,https://en.wiktionary.org/wiki/bagting,wiktionary,
bagtis,bagtis,noun,mudfish,,,https://en.wiktionary.org/wiki/bagtis,wiktionary,
bagyo,bagyo,noun,"typhoon, tropical cyclone, storm",,,https://en.wiktionary.org/wiki/bagyo,wiktionary,
baha,baha,noun,"(dated) value, price, cost Bunlar nəyin bahasına nail oldu? ― At what cost was this achieved? nəyin bahasına olursa olsun ― no matter what it takes",,,https://en.wiktionary.org/wiki/baha,wiktionary,
bahaw,bahaw,noun,cold (for food once served hot),,,https://en.wiktionary.org/wiki/bahaw,wiktionary,
bahawbahaw,bahawbahaw,noun,ant,,,https://en.wiktionary.org/wiki/bahawbahaw,wiktionary,
bahoy,bahoy,noun,"witch, sorceress",,,https://en.wiktionary.org/wiki/bahoy,wiktionary,
bairan,bairan,noun,a whetstone,,,https://en.wiktionary.org/wiki/bairan,wiktionary,
baka,baka,noun,"(voodoo) An evil spirit in Haitian belief, often in the form of an animal.",,,https://en.wiktionary.org/wiki/baka,wiktionary,
bakalaw,bakalaw,noun,codfish,,,https://en.wiktionary.org/wiki/bakalaw,wiktionary,
bakolod,bakolod,noun,hill; hillock; mound; slope,,,https://en.wiktionary.org/wiki/bakolod,wiktionary,
bakud,bakud,noun,strength,,,https://en.wiktionary.org/wiki/bakud,wiktionary,
bakyas,bakyas,noun,"(of soil) rocky, stony, barren",,,https://en.wiktionary.org/wiki/bakyas,wiktionary,
bal-ag,bal-ag,noun,a metal file,,,https://en.wiktionary.org/wiki/bal-ag,wiktionary,
balaba,balaba,noun,rattan,,,https://en.wiktionary.org/wiki/balaba,wiktionary,
balabag,balabag,noun,impediment,,,https://en.wiktionary.org/wiki/balabag,wiktionary,
balabaw,balabaw,noun,mouse; rat,,,https://en.wiktionary.org/wiki/balabaw,wiktionary,
balagon,balagon,noun,vine,,,https://en.wiktionary.org/wiki/balagon,wiktionary,
balahibo,balahibo,noun,body hair,,,https://en.wiktionary.org/wiki/balahibo,wiktionary,
balahibo sang hayop,balahibo sang hayop,noun,"fur, sable",,,https://en.wiktionary.org/wiki/balahibo_sang_hayop,wiktionary,
balaklon,balaklon,noun,"commodities, goods, wares",,,https://en.wiktionary.org/wiki/balaklon,wiktionary,
balaligya,balaligya,noun,"commodities, goods, merchandise",,,https://en.wiktionary.org/wiki/balaligya,wiktionary,
balanak,balanak,noun,(a kind of fish) mullet,,,https://en.wiktionary.org/wiki/balanak,wiktionary,
balani,balani,noun,plural of balanus,,,https://en.wiktionary.org/wiki/balani,wiktionary,
balangaw,balangaw,noun,rainbow,,,https://en.wiktionary.org/wiki/balangaw,wiktionary,
balangitaw,balangitaw,noun,"(animal) alligator, crocodile",,,https://en.wiktionary.org/wiki/balangitaw,wiktionary,
balaod,balaod,noun,law (body of rules established in a community by its authorities),,,https://en.wiktionary.org/wiki/balaod,wiktionary,
balas,balas,noun,"(archaic, now chiefly attributive) A type of rose-coloured spinel once thought to be a form of ruby.",,,https://en.wiktionary.org/wiki/balas,wiktionary,
balataan,balataan,noun,"(anatomy) uterus, womb",,,https://en.wiktionary.org/wiki/balataan,wiktionary,
balatas,balatas,noun,plural of balata,,,https://en.wiktionary.org/wiki/balatas,wiktionary,
balatian,balatian,noun,feeling; sensitivity,,,https://en.wiktionary.org/wiki/balatian,wiktionary,
balatong,balatong,noun,(Naga) yardlong bean,,,https://en.wiktionary.org/wiki/balatong,wiktionary,
balaw,balaw,noun,shrimp (small),,,https://en.wiktionary.org/wiki/balaw,wiktionary,
balay,balay,noun,(archaic except Sorsogon) house; home,,,https://en.wiktionary.org/wiki/balay,wiktionary,
balayan sang sinulatan ukon dinalan,balayan sang sinulatan ukon dinalan,noun,syntax,,,https://en.wiktionary.org/wiki/balayan_sang_sinulatan_ukon_dinalan,wiktionary,
balde,balde,noun,"bucket, pail",,,https://en.wiktionary.org/wiki/balde,wiktionary,
balhas,balhas,noun,sweat,,,https://en.wiktionary.org/wiki/balhas,wiktionary,
balidha,balidha,noun,law; legislation,,,https://en.wiktionary.org/wiki/balidha,wiktionary,
baligya,baligya,noun,"goods, merchandise",,,https://en.wiktionary.org/wiki/baligya,wiktionary,
balihawog,balihawog,noun,"bolt, latch",,,https://en.wiktionary.org/wiki/balihawog,wiktionary,
balikawang,balikawang,noun,(anatomy) haunch,,,https://en.wiktionary.org/wiki/balikawang,wiktionary,
baliko,baliko,noun,bent,,,https://en.wiktionary.org/wiki/baliko,wiktionary,
balingon,balingon,noun,anchovy,,,https://en.wiktionary.org/wiki/balingon,wiktionary,
balisbisan,balisbisan,noun,eaves,,,https://en.wiktionary.org/wiki/balisbisan,wiktionary,
balising,balising,noun,to relocate; to move something from one place to another,,,https://en.wiktionary.org/wiki/balising,wiktionary,
baliskag,baliskag,noun,vertebra; spine,,,https://en.wiktionary.org/wiki/baliskag,wiktionary,
balita,balita,noun,news,,,https://en.wiktionary.org/wiki/balita,wiktionary,
balitadhan,balitadhan,noun,honeysuckle,,,https://en.wiktionary.org/wiki/balitadhan,wiktionary,
balo,balo,noun,"ruining, spoiling, destruction",,,https://en.wiktionary.org/wiki/balo,wiktionary,
balod,balod,noun,(Sorsogon) wave; undulation,,,https://en.wiktionary.org/wiki/balod,wiktionary,
balota,balota,noun,third-person singular past historic of baloter,,,https://en.wiktionary.org/wiki/balota,wiktionary,
balsamo,balsamo,noun,Mexican logwood (Haematoxylum brasiletto),,,https://en.wiktionary.org/wiki/balsamo,wiktionary,
balunggay,balunggay,noun,"a type of tree, the malunggay or horseradish tree, Moringa oleifera",,,https://en.wiktionary.org/wiki/balunggay,wiktionary,
baluyot,baluyot,noun,sack; bag; pouch; wallet,,,https://en.wiktionary.org/wiki/baluyot,wiktionary,
bana,bana,noun,"(intransitive, Mpakwithi) to climb",,,https://en.wiktionary.org/wiki/bana,wiktionary,
banaag,banaag,noun,beam of light,,,https://en.wiktionary.org/wiki/banaag,wiktionary,
banag-banag,banag-banag,noun,"dawn, daybreak",,,https://en.wiktionary.org/wiki/banag-banag,wiktionary,
banas,banas,noun,present of bani,,,https://en.wiktionary.org/wiki/banas,wiktionary,
banas sa higad sang suba,banas sa higad sang suba,noun,riverside Nagaistar ako banas sa higad sang suba.I live by the riverside.,,,https://en.wiktionary.org/wiki/banas_sa_higad_sang_suba,wiktionary,
banda,banda,noun,"(uncountable) A style of Mexican brass band music, emerged in the 19th century. 2007 January 13, Seth Kugel, “The Sounds of Mexico Hit New York Airwaves”, in The New York Times‎[3], archived from the original on 25 January 2021:With very little fanfare, WZAA had become the first FM station in New York offering a format known as Mexican Regiona, which includes genres like ranchera, banda and norteña music.",,,https://en.wiktionary.org/wiki/banda,wiktionary,
bandeha,bandeha,noun,"platter, plate",,,https://en.wiktionary.org/wiki/bandeha,wiktionary,
bandehado,bandehado,noun,platter,,,https://en.wiktionary.org/wiki/bandehado,wiktionary,
bandera,bandera,noun,flag,,,https://en.wiktionary.org/wiki/bandera,wiktionary,
banhay,banhay,noun,a moderate slope or incline,,,https://en.wiktionary.org/wiki/banhay,wiktionary,
banig,banig,noun,mat,,,https://en.wiktionary.org/wiki/banig,wiktionary,
banka,banka,noun,bank (financial institution),,,https://en.wiktionary.org/wiki/banka,wiktionary,
banlas,banlas,noun,desert,,,https://en.wiktionary.org/wiki/banlas,wiktionary,
bansag,bansag,noun,nickname,,,https://en.wiktionary.org/wiki/bansag,wiktionary,
banta,banta,noun,to warn someone not to do something,,,https://en.wiktionary.org/wiki/banta,wiktionary,
bantay,bantay,noun,attendant,,,https://en.wiktionary.org/wiki/bantay,wiktionary,
bantayan,bantayan,noun,"guard-house, lookout station",,,https://en.wiktionary.org/wiki/bantayan,wiktionary,
bantolinaw,bantolinaw,noun,ebony,,,https://en.wiktionary.org/wiki/bantolinaw,wiktionary,
banwa,banwa,noun,town,,,https://en.wiktionary.org/wiki/banwa,wiktionary,
banwahanon,banwahanon,noun,"related to towns, municipalities or their government; civic",,,https://en.wiktionary.org/wiki/banwahanon,wiktionary,
banyo,banyo,noun,bath (the act of bathing),,,https://en.wiktionary.org/wiki/banyo,wiktionary,
banga,banga,noun,five,,,https://en.wiktionary.org/wiki/banga,wiktionary,
bangdan,bangdan,noun,"cause, reason, motive",,,https://en.wiktionary.org/wiki/bangdan,wiktionary,
bangis,bangis,noun,violence; cruelty,,,https://en.wiktionary.org/wiki/bangis,wiktionary,
bangka,bangka,noun,a canoe; an outrigger canoe or dugout,,,https://en.wiktionary.org/wiki/bangka,wiktionary,
bangkaw,bangkaw,noun,"spear; harpoon (for hunting, killing animals)",,,https://en.wiktionary.org/wiki/bangkaw,wiktionary,
